KO	SRS011061	SRS011090	SRS011098	SRS011126
K00001	0.4256736270242929	1.2567514848897	0.4409279790648191	0.25459033757213106
K00002	0.04880718409342131	0.009164854242055865	0.0709225985234245	0.12381451472693956
K00003	0.1830278863729104	0.6830873962526891	0.6188379547892193	0.5071757355448814
K00004	0.004750072725452186	0.01868027854449226	0.3861368981318413	0.09510491407506927
K00005	0.018039983633706014	0.05394507134290639	0.07966938725000598	0.05492301451180126
K00006	0.00049996334163277	0.0004997122877517289	0.007131312978228874	0.0033886685154185837
K00007	0.0005745430120853602	0.001881252864935171	0.005224227084080867	0.06583082304866944
K00008	0.027802934088119256	0.012699082246716335	0.029388310838663303	0.04121790832765131
K00009	0.01641708232519828	0.011044200403801788	0.03485307082363476	0.030521444592256218
K00010	0.07722332985641364	0.013580408258807552	0.18303386709320174	0.18589242623612612
K00011	0.029152103835336965	0.0057043098319592925	0.011244016358891657	0.012686434105225209
K00012	1.610735461409095	0.026258619176229233	0.4438102311114384	0.6028234383110315
K00013	0.48968480900856476	0.09951283976869965	0.3226470239050152	0.38091879501429643
K00014	0.7204764168427893	0.9387026615825447	0.9998459093993645	0.9363067927498246
K00015	0.044981091378528675	0.0015503691494483888	0.015308623263657404	0.015253644588038207
K00016	0.14908034804118683	0.6245501448317311	0.5391503797965577	0.46794994309471055
K00018	0.25751721169292097	0.08501945715044033	0.11361428344089777	0.2302570786327919
K00019	0.06504896848065803	0.0022175933601893596	0.018295404311064474	0.027750534218982773
K00020	0.01640814241411508	0.042214652843474976	0.03830914616134347	0.12350107337002492
K00021	0.0009677098927847539	0.0	0.010986205102178273	0.009865511216427432
K00022	0.0026690601031571317	7.120683097148972e-05	0.004315693748731226	0.004472371661053369
K00023	0.061924256721865974	0.005406893390418812	0.03209111048809278	0.10611407933707638
K00024	1.4205424018984725	0.13669208937629643	0.5968762551443755	0.667982742229669
K00025	0.000900012534792201	0.0011968536958811406	0.020497838942508638	0.01740896698752086
K00026	0.005147969717806079	0.002118181463533252	0.0008745121516876303	0.0016728347947020017
K00027	0.1895209106406098	0.05424838832375484	0.3400582512998799	0.38908158723119274
K00028	0.004931756314093639	0.0009077126388578183	0.006162563057171769	0.008294629943146897
K00029	0.6496571851556399	0.09400290638140804	0.1771834764360502	0.41069202475452615
K00030	0.03340206185557491	0.00337417709420649	0.025643959774781358	0.04214146291538603
K00031	0.5544636881136122	0.03221499419704577	0.36282930550630843	0.5249439886957585
K00032	0.0023008682119821443	7.712443798579858e-05	0.00018195018074115013	0.00020214279460966568
K00033	0.3673480392487972	0.9858289526299612	0.798669263473583	0.5038391017473
K00034	0.02297041551657249	0.0016369705363149546	0.03261703938911849	0.01300742172903009
K00035	0.00010967473387138439	0.001741395453167467	0.0008059089956084929	0.0011698785568854493
K00036	0.3509657705454227	0.7384305540660392	0.7443333813300487	0.47177979696559463
K00037	0.002776651222837276	0.0006878809749058498	0.0003542800558770792	0.00013031786800659376
K00038	0.005352736251319277	0.0002217271512589083	0.00250856465869547	0.0028555715989068073
K00039	0.001447239152073402	0.00012607940858027923	0.002350710206103163	0.003822282943090992
K00040	0.03760117117551558	0.002006324792989627	0.04214105099901102	0.03855969874119045
K00041	0.38980093324923415	0.0009101606312118998	0.0010895569516379947	0.003815205235038959
K00042	0.005924606750321902	0.00941452995621181	0.009076542611148179	0.040833936500380336
K00043	0.01269211939747091	3.190519149936697e-05	0.0022436601822370013	0.007558351017329697
K00044	0.005001147052056683	0.0004074468707634658	0.0030333265129337214	0.014482421020095074
K00045	0.02865331356132133	0.004290594247702991	0.07548721679550822	0.04364677057994604
K00046	0.8173822143045373	0.0031390332868472303	0.0359851062594399	0.045302263756836596
K00048	0.5358175879718523	0.02172544449105428	0.13811873059673127	0.11329733648836177
K00049	0.0002717922156547037	0.0001668492095232445	0.0004599553895090533	0.0007066980519045256
K00050	0.030636365571304496	0.001257512215578495	0.0073324391026539475	0.06406336891507956
K00051	0.0006841444292270441	0.00011453434503995587	5.11873817481676e-05	4.195107996696439e-05
K00052	0.785572213429366	0.70923507553698	0.7326123914112264	0.6124634246490357
K00053	0.829155462211351	0.9992490222660209	0.9364464686742328	0.7493171984606461
K00054	0.0011183213779701042	0.6766601972050147	0.13689307880587298	0.21347279952972012
K00055	0.004021058457065906	0.0009080881277248079	0.015847586713892158	0.004136414807944091
K00057	0.7084950440230023	0.8963650727088507	0.7230991914046634	0.738562534757035
K00058	0.8056420771779268	0.17144138960109315	0.5555193484759882	0.8695075320870538
K00059	2.1593953025136203	1.463089932024189	1.5400016672125203	1.6581540992118347
K00060	0.06433897872132385	0.003980713526375509	0.030170585872751225	0.0324972842069608
K00061	0.00014316818148441316	0.0	0.004092641289717455	0.0010790792074457992
K00062	5.185574105460486e-05	0.0	0.0	0.0
K00063	0.0028268187870479516	0.0	0.00011741350086287308	8.091817848898108e-05
K00064	0.05034541640335692	1.346922454233908e-07	0.0038985528114015124	0.001461746467615792
K00065	0.05224124515443128	0.0022036661367536656	0.007225181940591462	0.018929613796309357
K00066	0.005041305700000178	0.0	0.002745556001829347	0.012824313776753806
K00067	1.0924571274470671	0.36777964167658733	0.6742651015115	0.7569078553924737
K00068	0.007934998805620545	0.021184594228216322	0.08520755498648191	0.0825115259366412
K00069	0.0079293226716321	0.0004632835282305735	0.0007240894129669898	0.0009476533205459432
K00070	0.0010581401673977913	0.0	1.1213299281875311e-05	0.00036741442939949116
K00071	0.0003106259593244659	1.0424448714071196e-06	0.003435305945631677	0.0015915249994798491
K00072	0.00039871908576275396	0.0	3.889317479692089e-06	3.649162697277547e-05
K00073	0.0007468325989810774	0.0	0.0003560073862451284	0.002865929220454681
K00074	0.09579942434497032	0.01696444071662145	0.03406761293459977	0.1491273087318897
K00075	0.5644347634804274	0.8000448636053484	0.7068716829480441	0.7282320403158391
K00076	0.06801427547674753	0.00018976378336746884	0.006814492599875113	0.03369580898572024
K00077	0.4557301755094507	0.03178303570563479	0.050811501726697454	0.09293918473189235
K00078	0.018037098265614896	0.00047766962831469683	0.0019387628798260774	0.0030737228374503587
K00079	0.0030612147399621727	0.0	0.0056701299160720415	0.00471880907080759
K00081	1.741442636745948e-06	0.0	0.0003369703767146299	0.00039446261823451143
K00082	0.10448390934215025	0.0007787980455076437	0.010739862227823692	0.004912348627680942
K00083	0.0002877922913359866	4.166434221182652e-05	0.002078000156616774	0.004244553309080284
K00084	1.7273894750186652e-06	0.0	0.00020409931518143942	0.0003927018225715623
K00085	0.003144871494683729	0.0	0.001693824503441469	0.0018065467566461733
K00086	0.015351104362743338	0.003398013322536604	0.005526093095990371	0.005497332295931409
K00087	0.021466098107181662	0.0008494484702488473	0.007534120963659179	0.01798110227287368
K00088	1.092026687290148	1.130187354311953	1.5609781974417556	1.2462438208758442
K00089	0.004318204071191541	0.0	1.1369663349990207e-05	1.66245744435805e-05
K00090	0.02957956402551243	0.0024570479747952753	0.006594673517399131	0.007136351922388249
K00091	0.0038510109430969575	0.010073439770612296	0.08892492756518358	0.11786751368981158
K00092	8.213271274240312e-06	0.0	1.1369663349990207e-05	1.66245744435805e-05
K00094	0.0009231475108933795	5.384071469673759e-08	0.00020173541380897448	0.0003008667109742845
K00095	0.0	0.0	4.987776321082586e-09	1.0900854133860278e-09
K00096	0.020287117777347353	0.0020276350053119053	0.015864410376095626	0.013385795508532377
K00097	0.5789278255887683	0.003903275043162014	0.09133935044541722	0.31174467969645797
K00098	0.0032242191176845183	0.003488906010750342	0.022048141945292504	0.008443483761349315
K00099	0.6975637559903164	0.13934343089563833	0.5418078111311354	0.4870030345362994
K00100	1.7572648602263623	0.836160065540358	0.8093242495675435	0.7675564767814279
K00101	0.0017107252916688832	0.049924902226602084	0.7389023191910837	0.5962512808310328
K00102	0.043118231505680386	0.0066959417943520975	0.1253772062114506	0.1762583585388386
K00103	1.6573980128699107e-05	0.0	0.051668851721986216	0.08042989061611808
K00104	0.05551164435211411	0.03127407761407852	0.19547731458035267	0.2810244674150329
K00105	0.00026804218313514964	0.9643480635506985	0.08305129701354075	0.05911069954639597
K00106	0.0002723229341815952	0.0002584928754648727	0.00011766913969504184	0.00023129703315828424
K00107	6.120291469461203e-05	0.0	7.584187778355666e-07	7.05280044192479e-08
K00108	0.0014809837686179516	0.002177615987051029	0.05032159466093322	0.15348564791267455
K00109	0.003280062815874119	0.0004404133303424345	0.0015922459589136047	0.0011655456185403837
K00111	0.1584927972219469	0.12297065335116351	0.5163702317180955	0.3926845598686038
K00112	0.01503603162547815	0.1240151951083331	0.04688532375450634	0.08126145966011702
K00113	0.034768354606894626	0.15112500365774623	0.06140182029007857	0.1076401022443345
K00114	0.0	0.0015994996732748264	8.807515579588367e-05	7.673567226517924e-05
K00115	1.3900710226185618e-05	7.58638682180479e-05	6.058589793149549e-05	0.0007574775245777961
K00116	0.0034305323977021425	0.013279870870842913	0.4483990997073571	0.19213535931666756
K00117	0.002359549977165967	9.27876878663406e-05	0.000596057806710757	0.005422560132771031
K00118	0.030332361295244418	0.004459900714896018	0.004938396598904461	0.006533316399440331
K00119	0.00016215674170916522	0.001949240732252397	0.0019124613826236624	0.017289509085755817
K00120	0.05248437289338722	0.00040978904352785165	0.007475920186137807	0.006389172832946426
K00121	0.023634617795052576	0.020366759969942527	0.10146032419672069	0.1757466427127044
K00122	0.027326895651268536	0.028496874177057836	0.01053525011941905	0.017762235865280595
K00123	0.0580252256852104	0.22552446529392592	0.17734565047761144	0.4790523269506107
K00124	0.05157051532179975	0.09812011742563768	0.08410315481576863	0.24064158067206692
K00125	0.017296646587256367	9.632606087801586e-05	0.002078389172236123	0.0016998977801392873
K00126	0.0	0.0	0.0	0.0
K00127	0.008260241282964232	0.03472618571579285	0.05726309833265017	0.16383291183574356
K00128	0.045151186193546924	0.018190046131460653	0.33173432759692284	0.1935807407421476
K00129	0.003808203432632502	3.4983371207369775e-05	0.008760126404831859	0.006367915047773926
K00130	0.005782703400696459	0.011076482693377628	0.31098817544156016	0.24099620590440315
K00131	0.0010631067846281607	0.0945359055133354	0.15674196897528608	0.21433470160788967
K00132	0.0016427204764084685	0.007081524972448631	0.025992507660403907	0.034358943374626257
K00133	1.0487981968767293	0.8315225342089126	0.9353097347406123	0.9306840839117145
K00134	1.3499833263489696	1.1201564374366604	1.616021380701111	1.3418422016394926
K00135	0.012208323577435374	0.024145104502920293	0.6545162439291629	0.539955141634309
K00136	0.0	0.0	3.5511214511874836e-05	3.703663515400671e-05
K00137	0.0011062974341431195	0.0005008094954801299	0.027181783965068696	0.014794358055539563
K00138	9.299210307829568e-05	0.0019284327972503154	0.013949998863268207	0.006995710218414698
K00139	0.00021169756612036454	6.928306008797108e-05	0.0037754975737090317	0.002959493068406844
K00140	0.00572736109433768	0.01775262598383022	0.2432039730120368	0.16432366580929966
K00141	0.00035190658975356947	5.0564696244112744e-05	0.003255201820804833	0.0034425281474561656
K00142	3.3223169032783187e-07	1.067261271985511e-06	9.058102260583168e-08	1.618989959268578e-05
K00143	0.0006820442596518907	0.0	0.00043651644096296885	0.0026434869672731136
K00145	0.8136170454275031	0.04310446392869208	0.2780511833405374	0.35340451321075783
K00146	0.00022415195010617233	0.0002989393658628165	0.0095293668897372	0.007314675639982563
K00147	0.641753168580919	0.7280972955051768	0.34092823167237557	0.47306216915750665
K00148	0.0008482698434065862	0.0003145962763207997	0.008392632953681327	0.002777692149289641
K00149	0.0003942292637806358	6.366974535029676e-05	0.00030756786933138	0.0011113210036570217
K00150	0.002519446671529448	0.00021206977265862708	0.01154002187585234	0.008793423403542541
K00151	0.0011008909165288357	0.0011180449221252287	0.021217063134202317	0.009053325721301422
K00152	5.213292559751051e-07	0.0	0.00011130595572821385	0.000605935656975833
K00153	0.01199395491721587	0.0026199369958924013	0.26564006961885267	0.04230693825012056
K00154	0.006092005401769891	0.004040079779199423	0.0008681363373438602	0.0023912492894554924
K00155	0.0025295170792435364	0.0017284825373269825	0.04959408494191605	0.01993755833868639
K00156	0.11940078945517735	0.012251323964037487	0.2659300630769395	0.24154096747603845
K00157	0.0002617175508422758	0.0040610096261722295	8.86581740014116e-05	0.0002136047358992883
K00158	0.003668106985649132	0.6272858494340836	0.08111531281671254	0.05645643572047608
K00161	0.013943612338948582	0.5658422166527738	0.5772031798245743	0.33989768149620614
K00162	0.04830058913527628	0.591394965523786	0.7030320483196776	0.4022628936978003
K00163	0.0009113884533213465	0.1194196014937616	0.736775363693372	0.4830770027506906
K00164	0.0170465655841246	0.12204168414053565	0.6682783027817844	0.5540908289422978
K00166	0.007452905825815814	0.0008990276301287684	0.017158720896484608	0.0023471184233695066
K00167	0.012705127204448434	0.0017837915597903565	0.03576644917160024	0.018865075949737933
K00169	0.06755781970206555	0.0	3.872645381960752e-06	0.0018789662600482546
K00170	0.07800143322355203	0.0007835331064146536	0.0008620687042004795	0.0035745631611467533
K00171	0.1461334884803123	0.0012367823042352415	0.002593471105491997	0.009375324446333684
K00172	0.059397904087276646	0.0008223547540794479	0.002460650060247933	0.005640366117264881
K00174	1.4061439420191475	0.027872684891718718	0.054105504065779284	0.15020326832276817
K00175	1.5643898274193369	0.03308417777688938	0.059351152269397627	0.14508882276982168
K00176	0.9385298339936875	0.0072891166746372965	0.007980933182791956	0.07183701049448013
K00177	0.7102215347765518	0.001947421805666645	0.012227569081903245	0.0662784202653974
K00178	0.000396076845392123	0.0	0.0	0.0
K00179	0.6341518791529468	0.0011169330849615587	0.002200994768504521	0.004406995340303084
K00180	0.5884164295673271	0.0025511493860569654	0.00019595524804811567	0.001387684541369831
K00181	7.987361141627774e-05	0.0	3.409539976413729e-05	0.00031032913808605136
K00182	0.0	0.0	1.3137764574833419e-05	3.861863853999319e-05
K00183	0.015636140891008555	5.05973686520842e-05	0.0006525812701620314	0.0011645641105970585
K00184	0.03182963083828467	0.0031759726136925646	0.05754399791861505	0.10689829925429957
K00185	0.0016350387750872135	0.0029030751075223133	0.07993664602880271	0.14715467504827556
K00186	0.019672865477885614	0.0	0.00025868123706999577	0.0018763226004555047
K00187	0.014981919148105144	1.815849531374975e-05	0.00016433383602276787	0.0006957880238771282
K00188	0.004982321207676271	0.001625315752000979	0.00018601766737135394	0.000190905021843227
K00189	0.0007888643711403792	0.0	0.0	0.0
K00190	4.741322018889841e-05	0.0	1.4274447989413289e-06	8.218945322853133e-06
K00191	0.003789230954781266	0.0	0.0	0.0
K00192	0.00084029487515701	2.7726244233592787e-07	5.943703883348687e-05	0.0001516086989226998
K00193	0.0004932040120789253	0.0	0.0	0.0
K00194	0.002333576934070566	1.2950903611520494e-06	0.00022698050627632156	0.0001936273500390941
K00195	0.0	0.0	0.0	0.0
K00196	0.017501223916343903	0.0	0.0007210732789233715	0.0023929410343037673
K00197	0.0018088798386056138	0.0	0.0	3.117150864919273e-06
K00198	0.06154632080068447	0.003597319887259383	0.016955068696618152	0.015837074613145485
K00200	0.0005016330710471965	0.0	9.994821545444885e-05	0.0004432100242045638
