Taxa	K00001
s__Atopobium_vaginae	0
s__Deinococcus_unclassified	0.2
s__Peptoniphilus_unclassified	0
s__Arthrobacter_unclassified	1.6
s__Delftia_acidovorans	3
s__Pseudomonas_unclassified	0.333
s__Corynebacterium_kroppenstedtii	0
s__Prevotella_bivia	0
s__Eubacterium_saburreum	0
s__Haemophilus_parasuis	0
s__Veillonella_atypica	0
s__Butyrivibrio_crossotus	0
s__Bacteroides_fragilis	0.25
s__Thioalkalivibrio_unclassified	0.5
s__Slackia_unclassified	0
s__Corynebacterium_pseudogenitalium	0
s__Bifidobacterium_pseudocatenulatum	2
s__Lactobacillus_delbrueckii	0.8
s__Bilophila_wadsworthia	5
s__Streptococcus_sanguinis	0.666
s__Serratia_unclassified	0
s__Solobacterium_moorei	0
s__Staphylococcus_haemolyticus	4
s__Frankia_unclassified	1
s__Streptococcus_infantis	1
s__Selenomonas_noxia	0
s__Clostridium_botulinum	0.187
s__Porphyromonas_uenonis	0
s__Leptotrichia_hofstadii	0
s__Bacteroides_intestinalis	1
s__Ruminococcus_albus	0
s__Bifidobacterium_angulatum	1
s__Gemella_moribillum	0
s__Olsenella_uli	0
s__Cardiobacterium_hominis	0
s__Actinobacillus_minor	0
s__Turicibacter_unclassified	0
s__Lactobacillus_jensenii	1.142
s__Streptococcus_infantarius	0
s__Parabacteroides_johnsonii	0
s__Aerococcus_viridans	1
s__Parabacteroides_unclassified	0
s__Prevotella_tannerae	0
s__Brevundimonas_subvibrioides	1
s__Bifidobacterium_adolescentis	0
s__Staphylococcus_warneri	3
s__Butyrivibrio_unclassified	0
s__Corynebacterium_genitalium	0
s__Lactobacillus_salivarius	0.5
s__Odoribacter_splanchnicus	0
s__Abiotrophia_defectiva	1
s__Mobiluncus_curtisii	0
s__Clostridium_bolteae	0
s__Dorea_longicatena	0
s__Leuconostoc_gasicomitatum	0
s__Corynebacterium_tuberculostearicum	0
s__Agrobacterium_unclassified	4.75
s__Faecalibacterium_prausnitzii	0
s__Phascolarctobacterium_unclassified	0
s__Corynebacterium_striatum	1
s__Bifidobacterium_dentium	1
s__Leuconostoc_unclassified	0
s__Acinetobacter_lwoffii	3
s__Aggregatibacter_unclassified	0
s__Enhydrobacter_aerosaccus	0
s__Alistipes_putredinis	0
s__Oribacterium_sinus	0
s__Akkermansia_muciniphila	1
s__Granulicatella_elegans	0
s__Bacteroides_cellulosilyticus	1
s__Eubacterium_eligens	1
s__Fusobacterium_ulcerans	1
s__Porphyromonas_endodontalis	0
s__Neisseria_elongata	1
s__Alistipes_unclassified	0
s__Leptotrichia_unclassified	0
s__Aggregatibacter_aphrophilus	0
s__Eggerthella_lenta	1
s__Enterococcus_unclassified	0.0285
s__Acinetobacter_baumannii	1.545
s__Helicobacter_pylori	0
s__Lactobacillus_coleohominis	1
s__Pseudomonas_fluorescens	0.6
s__Serratia_proteamaculans	0
s__Campylobacter_concisus	0
s__Peptostreptococcus_unclassified	0.5
s__Capnocytophaga_sputigena	0
s__Bacteroides_plebeius	2
s__Flavobacterium_unclassified	1.5
s__Coprococcus_catus	0
s__Moraxella_catarrhalis	0
s__Parabacteroides_distasonis	0
s__Prevotella_veroralis	0
s__Prevotella_copri	0
s__Atopobium_rimae	0
s__Prevotella_buccalis	0
s__Micrococcus_luteus	0.666
s__Actinobacillus_succinogenes	0
s__Lactobacillus_plantarum	2
s__Atopobium_parvulum	0
s__Bulleidia_extructa	0
s__Pseudoramibacter_alactolyticus	1
s__Gardnerella_vaginalis	0
