Taxa	K00001	K00007	K00020	K00033	K00035	K00036	K00042	K00045	K00053	K00054
s__Atopobium_vaginae	0	0	0.666	0.666	0	0	0	0	0	0
s__Deinococcus_unclassified	0.2	0	1.2	1	0	1	0.2	0.4	1	0
s__Peptoniphilus_unclassified	0	0	0	0	0	0	0	0	0	0
s__Arthrobacter_unclassified	1.6	0	3	1.8	0	2	2	0.6	1	0
s__Delftia_acidovorans	3	1	4	0	0	1	1	0	1	1
s__Pseudomonas_unclassified	0.333	0	2.694	0.638	0.333	2.055	0.611	0.805	0.944	0.0277
s__Corynebacterium_kroppenstedtii	0	0	0	1	0	1	0	0	1	0
s__Prevotella_bivia	0	0	0	0	0	0	0	0	0	0
s__Eubacterium_saburreum	0	0	0	0	0	0	0	0	1	0
s__Haemophilus_parasuis	0	0	0	1	0	1	0	0	1	0
s__Veillonella_atypica	0	0	0	0	0	0	0	0	1	0
s__Butyrivibrio_crossotus	0	0	0	0	0	0	0	0	1	0
s__Bacteroides_fragilis	0.25	0	0	1	0	1	0	0	1	0
s__Thioalkalivibrio_unclassified	0.5	0	0	0.5	0	0.5	2	0	1	0
s__Slackia_unclassified	0	0	0	0	0	0	0	0	0.5	0
s__Corynebacterium_pseudogenitalium	0	0	0	1	0	1	0	0	1	0
s__Bifidobacterium_pseudocatenulatum	2	0	0	2	0	1	0	0	2	0
s__Lactobacillus_delbrueckii	0.8	0	0	1	0	1	0	0	0	1
s__Bilophila_wadsworthia	5	0	2	0	0	0	0	0	1	0
s__Streptococcus_sanguinis	0.666	0	0	1	0	1	0	0	1	1
s__Serratia_unclassified	0	0	0	1	0	1	0.666	0	1	0
s__Solobacterium_moorei	0	0	0	1	0	1	0	0	0	0
s__Staphylococcus_haemolyticus	4	0	0	1	0	1	0	0	1	1
s__Frankia_unclassified	1	0	1.833	0.666	0	1	0	0	0.666	0
s__Streptococcus_infantis	1	0	0	1	0	0.5	0	0	1	1
s__Selenomonas_noxia	0	0	0	0	0	0	1	0	1	0
s__Clostridium_botulinum	0.187	0	0	0.0625	0	0	0.187	0	0.25	0
s__Porphyromonas_uenonis	0	0	0	0	0	0	0	0	0	0
s__Leptotrichia_hofstadii	0	0	0	0	0	0	0	0	1	1
s__Bacteroides_intestinalis	1	0	0	1	0	1	0	0	1	0
s__Ruminococcus_albus	0	0	0	0	0	0	0	0	1	0
s__Bifidobacterium_angulatum	1	0	0	1	0	1	0	0	2	0
s__Gemella_moribillum	0	0	1	1	0	1	0	0	0	1
s__Olsenella_uli	0	0	1	0	0	0	0	0	0	0
s__Cardiobacterium_hominis	0	0	1	1	0	1	0	0	1	0
s__Actinobacillus_minor	0	0	0.5	0.5	0	1	0	0	0.5	0
s__Turicibacter_unclassified	0	0	1	0	0	0	0	0	0	0
s__Lactobacillus_jensenii	1.142	0	0	1.142	0	1.142	0	0	0	1.142
s__Streptococcus_infantarius	0	0	0	0	0	0	0	0	1	1
s__Parabacteroides_johnsonii	0	0	0	0	0	1	0	0	1	0
s__Aerococcus_viridans	1	0	0	1	0	1	0	0	1	1
s__Parabacteroides_unclassified	0	0	0	0.75	0	1	0	0	1	0
s__Prevotella_tannerae	0	0	0	0	0	0	0	0	0	0
s__Brevundimonas_subvibrioides	1	0	2	0	0	1	0	1	2	0
s__Bifidobacterium_adolescentis	0	0	0	2	0	1	0	0	2	0
s__Staphylococcus_warneri	3	0	0	1	0	1	0	0	1	1
s__Butyrivibrio_unclassified	0	0	0	0	0	0	0	0	1	0
s__Corynebacterium_genitalium	0	0	0	1	0	1	0	0	1	0
s__Lactobacillus_salivarius	0.5	0	1	1	0	1	0	0	0	1
s__Odoribacter_splanchnicus	0	0	0	1	0	1	0	0	1	0
s__Abiotrophia_defectiva	1	0	0	1	0	1	0	0	0	1
s__Mobiluncus_curtisii	0	0	0	1	0	0	0	0	1	0
s__Clostridium_bolteae	0	0	1	1	0	1	0	0	1	0
s__Dorea_longicatena	0	0	0	0	0	0	2	0	1	0
s__Leuconostoc_gasicomitatum	0	0	1	2	0	1	0	0	0	1
s__Corynebacterium_tuberculostearicum	0	0	0	1	0	1	0	0	1	0
s__Agrobacterium_unclassified	4.75	0	1	1.75	1	1.75	1.75	0.75	1	0
s__Faecalibacterium_prausnitzii	0	0	0	0	0	0	0	0	1	0
s__Phascolarctobacterium_unclassified	0	0	0	0	0	0	0	0	1	0
s__Corynebacterium_striatum	1	0	1	1	0	1	0	0	1	0
s__Bifidobacterium_dentium	1	0	0	2	0	0.75	0	0	2	0
s__Leuconostoc_unclassified	0	0	1	1.8	0	1	0	0	0.4	1
s__Acinetobacter_lwoffii	3	0	3	0	0	0	0	0	1	0
s__Aggregatibacter_unclassified	0	0	0	1	0	1	0	0	1	0
s__Enhydrobacter_aerosaccus	0	0	1	0	0	0	0	0	1	0
s__Alistipes_putredinis	0	0	0	0	0	0	0	0	0	0
s__Oribacterium_sinus	0	0	0	0	0	0	0	0	1	0
s__Akkermansia_muciniphila	1	0	0	0	0	0	0	0	1	0
s__Granulicatella_elegans	0	0	1	1	0	1	0	0	0	1
s__Bacteroides_cellulosilyticus	1	0	0	1	0	1	0	0	1	0
s__Eubacterium_eligens	1	0	0	0	0	0	1	0	1	0
s__Fusobacterium_ulcerans	1	0	0	0	0	0	1	0	0	1
s__Porphyromonas_endodontalis	0	0	0	0	0	0	0	0	0	0
s__Neisseria_elongata	1	0	0	1	0	1	0	0	1	0
s__Alistipes_unclassified	0	0	0	0	0	0	0	0	0	0
s__Leptotrichia_unclassified	0	0	0.333	0.333	0	0	0	0	1	1
s__Aggregatibacter_aphrophilus	0	0	0	1	0	1	0	0	1	0
s__Eggerthella_lenta	1	0	1	0	0	0	0	0	1	0
s__Enterococcus_unclassified	0.0285	0	0.985	1.828	0	1	0.0714	0	0.0714	0.971
s__Acinetobacter_baumannii	1.545	0	1	0	0	0	0.909	0	1	0
s__Helicobacter_pylori	0	0	0.541	0	0	0.916	0	0	0.875	0
s__Lactobacillus_coleohominis	1	0	1	1	0	1	0	0	0	1
s__Pseudomonas_fluorescens	0.6	0	2	0.8	0	1.6	0.8	0.8	0.8	0
s__Serratia_proteamaculans	0	0	0	1	0	1	0	0	1	0
s__Campylobacter_concisus	0	0	0	0	0	0	0	0	1	0
s__Peptostreptococcus_unclassified	0.5	0	0	1	0	1	0	0	0	0
s__Capnocytophaga_sputigena	0	0	0	0	0	0	0	0	0	1
s__Bacteroides_plebeius	2	0	0	0	0	0	0	0	1	0
s__Flavobacterium_unclassified	1.5	0	0	0.5	0	0.5	0	0	1	1
