Sample	Site
SRS011090	1
SRS011144	1
SRS011247	1
SRS011310	1
SRS012281	1
SRS013239	1
SRS013506	1
SRS013711	1
SRS013825	1
SRS013881	1
SRS013945	1
SRS014126	1
SRS014472	1
SRS014575	1
SRS014686	1
SRS014890	1
SRS015040	1
SRS015059	1
SRS015154	1
SRS015274	1
SRS015374	1
SRS015436	1
SRS015646	1
SRS015745	1
SRS015799	1
SRS015895	1
SRS015921	1
SRS016039	1
SRS016088	1
SRS016196	1
SRS016297	1
SRS016349	1
SRS016503	1
SRS016533	1
SRS016600	1
SRS017013	1
SRS017080	1
SRS017127	1
SRS017215	1
SRS017441	1
SRS017537	1
SRS017687	1
SRS017810	1
SRS018149	1
SRS018329	1
SRS018359	1
SRS018661	1
SRS018971	1
SRS019024	1
SRS019073	1
SRS019124	1
SRS019221	1
SRS019329	1
SRS019391	1
SRS019587	1
SRS019872	1
SRS019976	1
SRS020336	1
SRS020858	1
SRS021473	1
SRS022079	1
SRS022145	1
SRS022532	1
SRS022625	1
SRS022721	1
SRS023354	1
SRS023534	1
SRS023591	1
SRS023837	1
SRS023987	1
SRS024017	1
SRS024140	1
SRS024347	1
SRS024377	1
SRS024470	1
SRS024557	1
SRS042457	1
SRS043646	1
SRS043676	1
SRS045049	1
SRS045254	1
SRS045262	1
SRS045978	1
SRS046623	1
SRS046686	1
SRS048719	1
SRS049283	1
SRS050007	1
SRS050029	1
SRS050628	1
SRS051116	1
SRS052668	1
SRS052874	1
SRS054569	1
SRS054776	1
SRS055118	1
SRS056892	1
SRS057022	1
SRS058105	1
SRS063272	1
SRS063287	1
SRS063478	1
SRS064809	1
SRS065133	1
SRS065431	1
SRS075406	1
SRS077738	1
SRS011140	0
SRS011243	0
SRS011306	0
SRS012279	0
SRS013164	0
SRS013234	0
SRS013502	0
SRS013705	0
SRS013818	0
SRS013879	0
SRS014124	0
SRS014271	0
SRS014470	0
SRS014573	0
SRS014684	0
SRS014888	0
SRS015038	0
SRS015057	0
SRS015209	0
SRS015272	0
SRS015395	0
SRS015434	0
SRS015537	0
SRS015644	0
SRS015762	0
SRS015797	0
SRS015893	0
SRS015941	0
SRS016002	0
SRS016037	0
SRS016086	0
SRS016225	0
SRS016319	0
SRS016342	0
SRS016501	0
SRS016529	0
SRS016569	0
SRS017120	0
SRS017209	0
SRS017439	0
SRS017533	0
SRS017713	0
SRS017808	0
SRS018145	0
SRS018300	0
SRS018357	0
SRS018439	0
SRS018591	0
SRS018739	0
SRS018791	0
SRS018969	0
SRS019022	0
SRS019045	0
SRS019071	0
SRS019122	0
SRS019219	0
SRS019327	0
SRS019389	0
SRS019607	0
SRS019894	0
SRS019974	0
SRS020220	0
SRS020334	0
SRS020856	0
SRS021496	0
SRS021954	0
SRS022077	0
SRS022143	0
SRS022530	0
SRS022621	0
SRS022719	0
SRS023352	0
SRS023557	0
SRS023617	0
SRS023835	0
SRS023926	0
SRS023958	0
SRS024015	0
SRS024081	0
SRS024138	0
SRS024277	0
SRS024318	0
SRS024375	0
SRS024441	0
SRS024580	0
SRS024637	0
SRS042131	0
SRS042643	0
SRS042910	0
SRS043663	0
SRS044373	0
SRS044486	0
SRS044662	0
SRS045127	0
SRS045715	0
SRS047210	0
SRS047219	0
SRS047824	0
SRS048411	0
SRS048791	0
SRS049147	0
SRS049389	0
SRS050244	0
SRS050669	0
SRS051791	0
SRS052227	0
SRS053603	0
SRS053854	0
SRS054687	0
SRS055426	0
SRS056323	0
SRS056622	0
SRS057205	0
SRS057355	0
SRS057539	0
SRS057692	0
SRS057791	0
SRS058336	0
SRS062540	0
SRS062544	0
SRS062761	0
SRS063193	0
SRS063288	0
SRS063932	0
SRS064423	0
SRS064774	0
SRS065278	0
SRS077736	0
