Ordering	1	2	3	4	5	6	7	8	9	10
1	8	6	3	2	7	1	0	4	9	5
2	5	6	7	1	9	2	0	4	8	3
3	1	2	8	5	9	4	7	3	6	0
4	1	4	8	3	6	2	7	0	5	9
5	4	6	1	8	2	7	5	3	9	0
6	4	9	5	0	1	3	6	8	2	7
7	7	5	8	3	6	0	2	9	1	4
8	1	3	6	9	4	0	2	5	7	8
9	6	9	4	0	1	8	3	5	2	7
10	9	8	1	0	7	2	6	3	5	4
11	0	1	3	6	5	9	8	2	7	4
12	4	1	0	2	8	6	9	7	5	3
13	9	0	6	3	1	2	4	8	7	5
14	2	7	4	6	8	9	5	1	0	3
15	0	3	8	1	5	2	6	4	9	7
16	3	6	9	2	0	4	5	1	7	8
17	3	4	1	7	8	0	5	9	2	6
18	0	3	9	4	1	5	6	7	8	2
19	2	6	4	1	7	9	5	3	0	8
20	9	4	1	2	6	8	3	0	5	7
21	1	7	3	4	8	9	2	6	0	5
22	0	8	1	2	5	6	7	3	4	9
23	6	5	8	2	7	4	3	9	0	1
24	2	3	5	6	4	8	0	9	1	7
25	4	6	2	9	3	1	7	0	8	5
26	8	9	6	7	0	2	5	3	4	1
27	6	3	4	9	5	1	7	2	0	8
28	2	9	1	4	6	3	0	7	5	8
29	4	1	9	3	0	7	8	6	5	2
30	5	8	7	4	0	1	3	9	2	6
