Ordering	1	2	3	4	5	6	7	8	9	10
1	8	0	3	5	4	7	1	2	9	6
2	9	8	5	1	2	6	7	0	3	4
3	4	9	3	6	0	8	7	5	2	1
4	7	5	3	9	4	8	1	0	2	6
5	2	7	8	9	4	5	0	1	3	6
6	6	5	7	8	1	0	4	9	2	3
7	7	3	0	1	6	8	5	9	2	4
8	6	1	9	4	2	8	7	3	5	0
9	7	8	4	1	5	6	9	0	3	2
10	7	6	0	2	5	1	9	4	8	3
11	8	1	7	5	6	3	0	4	9	2
12	2	4	3	6	8	9	1	0	5	7
13	7	1	3	8	4	9	6	2	0	5
14	4	9	6	0	7	1	5	3	8	2
15	1	4	7	5	8	2	9	0	6	3
16	5	1	3	2	0	9	4	7	8	6
17	4	1	9	8	6	7	0	3	5	2
18	0	5	9	3	8	7	1	6	2	4
19	0	6	3	9	8	5	1	4	2	7
20	2	3	4	6	1	8	0	9	7	5
21	1	8	2	3	7	6	0	5	4	9
22	1	4	2	8	5	0	3	7	6	9
23	9	7	6	2	8	4	3	5	0	1
24	5	8	6	1	0	7	3	2	9	4
25	9	8	0	2	4	3	7	5	6	1
26	9	2	5	7	1	0	3	4	8	6
27	5	9	1	0	3	6	2	7	4	8
28	5	1	8	6	9	2	0	3	4	7
29	6	3	1	8	0	9	7	5	4	2
30	1	4	9	6	8	5	3	0	7	2
