Ordering	1	2	3	4	5	6	7	8	9	10
1	0	5	1	8	4	2	3	6	9	7
2	1	9	3	6	5	7	8	4	2	0
3	7	2	3	0	9	5	6	1	4	8
4	9	7	0	6	4	3	8	2	1	5
5	4	2	3	7	5	1	8	0	9	6
6	1	3	8	5	4	2	9	0	7	6
7	7	0	4	5	3	6	2	1	9	8
8	1	3	6	4	0	7	2	8	5	9
9	8	5	4	3	1	7	9	6	0	2
10	0	3	1	5	8	9	7	6	2	4
11	3	7	9	4	5	8	0	1	6	2
12	4	7	3	9	2	8	6	5	0	1
13	0	5	3	2	4	8	7	9	1	6
14	8	0	9	3	4	6	2	7	5	1
15	4	3	5	6	2	1	0	8	9	7
16	2	4	9	6	8	0	5	7	1	3
17	6	3	0	8	5	1	7	2	9	4
18	9	2	5	6	8	3	1	7	4	0
19	2	3	6	8	9	7	1	4	5	0
20	2	4	0	6	9	3	8	5	1	7
21	4	8	1	5	3	0	6	9	7	2
22	3	9	2	0	7	4	6	1	5	8
23	0	6	4	9	1	5	3	2	8	7
24	5	2	1	3	0	6	8	9	7	4
25	5	9	1	2	0	6	4	3	8	7
26	2	4	6	0	9	8	7	1	3	5
27	4	3	9	1	0	2	7	5	6	8
28	7	8	5	3	4	2	0	6	1	9
29	6	8	1	4	3	7	9	0	5	2
30	1	4	2	8	3	6	9	7	5	0
